,GEO.id,GEO.id2,population,sex_ratio,median_age,senior_ratio,%white,%black,%asian,%hispanic,fract,%poverty,%unemployment,median_income,gini,%no_high_school,%bachelor,%same_house,mean_bldg_age,%occupancy,%ownership
104,1400000US36005017300,36005017300,6301,94.1,31.6,20.3,10.157117917790828,21.345818124107286,4.840501507697191,48.56372004443739,0.5817994392861063,18.96524361212506,17.5,18720.0,0.45215668686232857,46.7,11.3,95.5,54.19440745672437,95.42831779849091,4.511627906976744
105,1400000US36005017500,36005017500,7004,77.8,30.2,19.8,4.62592804111936,34.70873786407767,0.0,40.23415191319246,0.6428490034739062,19.745859508852085,14.4,22000.0,0.4321998220767598,39.1,9.5,89.7,66.18517095658855,94.19900115251633,2.8140293637846656
106,1400000US36005017701,36005017701,4946,90.6,30.0,18.2,4.104326728669632,27.355438738374442,0.16174686615446826,40.71977355438739,0.6176139017932286,18.21674080064699,15.6,25022.0,0.503199550197149,44.3,16.8,87.8,63.3785664578984,86.22129436325679,6.860371267150928
107,1400000US36005017702,36005017702,5388,87.2,30.1,14.4,5.642167780252413,24.406087602078692,2.023014105419451,48.55233853006681,0.5160234682477876,22.06755753526355,15.7,23485.0,0.4649094628308197,40.8,14.7,93.9,57.936763129689176,87.19185423365488,11.186232329440688
108,1400000US36005017901,36005017901,4661,90.8,35.1,9.7,8.088393048701995,27.183007938210686,1.630551383823214,56.68311521132804,0.459761119499583,24.179360652220552,15.7,21376.0,0.4218280711092498,44.5,10.9,92.2,60.71660859465737,98.95470383275261,10.093896713615024
109,1400000US36005017902,36005017902,3600,91.2,29.0,8.4,7.611111111111112,28.666666666666668,0.0,47.083333333333336,0.5325597993827161,23.86111111111111,13.9,20852.0,0.435339730307452,49.6,8.6,95.2,65.91341991341992,96.45021645021646,41.06604784183182
110,1400000US36005018101,36005018101,2921,82.9,33.2,16.2,4.450530640191715,40.294419719274224,0.0,43.37555631633002,0.5205012375998288,17.733652858610068,12.0,27371.0,0.41524932061634345,36.2,9.2,90.0,67.02816901408451,90.89201877934272,16.528925619834713
111,1400000US36005018102,36005018102,5626,89.4,32.8,14.1,9.011731247778172,29.754710273729113,2.523995734091717,40.45503021685033,0.6222153151364551,16.050479914681834,14.8,38250.0,0.38692993964286393,38.3,19.4,92.0,69.09251620506777,95.52150854449027,3.454657618753856
112,1400000US36005018301,36005018301,4202,81.1,42.6,24.7,8.51975249881009,41.361256544502616,2.30842455973346,48.334126606377914,0.4980276725051714,11.399333650642552,16.3,29987.0,0.47075643269584533,31.0,24.9,88.4,68.48007870142646,93.40875553369405,15.00789889415482
113,1400000US36005018302,36005018302,4078,95.4,30.0,6.1,10.25012260912212,21.015203531142717,0.4904364884747425,53.678273663560574,0.4958330938075839,17.99901912702305,16.8,31324.0,0.4060897168117388,30.400000000000006,12.2,96.1,67.23088923556942,97.65990639625585,3.1150159744408943
