,GEO.id,GEO.id2,total_population,sex_ratio,median_age,senior_ratio,child_ratio,%white,%black,%asian,%hispanic,fract,%poverty,%unemployment,median_income,gini,%lower_high_school,%higher_bachelor,%live_same_house,mean_age,%occupancy,%ownership
1659,1400000US36081041300,36081041300,4822,109.6,30.2,12.6,52.7,26.60721692243882,0.0,17.565325591041063,49.00456242223144,0.6064510424277226,13.479883865615927,5.4,50745.0,0.36845486087361834,46.4,9.4,91.5,60.635791366906474,0.8911870503597122,0.3007063572149344
1660,1400000US36081041400,36081041400,3677,91.3,36.0,16.1,37.8,2.0669023660592876,62.93173782975252,0.7070981778623878,12.999728039162362,0.5745709294500156,7.859668207778079,15.3,40682.0,0.4049058406953039,76.5,16.5,80.7,56.68106551475882,0.904247660187185,0.4124203821656051
1661,1400000US36081041500,36081041500,3687,109.7,32.0,13.0,40.7,42.961757526444266,2.3053973420124763,12.069433143477081,50.772986167615954,0.5121263701572365,11.201518850013562,3.0,40345.0,0.35328405888992687,65.1,12.2,91.6,48.24805531547105,0.905790838375108,0.3244274809160305
1662,1400000US36081042400,36081042400,2612,85.1,39.9,23.0,28.8,0.22970903522205208,77.41194486983154,1.8376722817764166,2.4502297090352223,0.3995950777305357,7.120980091883614,6.0,79375.0,0.35844774700840565,92.4,35.7,91.9,63.52386934673367,0.9685929648241206,0.8534370946822308
1663,1400000US36081042600,36081042600,512,725.8,72.6,156.0,,50.5859375,44.53125,3.7109375,12.890625,0.5278091430664062,16.40625,0.0,,,59.2,5.8,64.3,57.5416255758104,0.9097984498389206,0.3184001464573227
1664,1400000US36081042700,36081042700,5242,147.3,31.6,8.5,39.4,36.95154521175124,0.6104540251812286,13.792445631438383,60.37771842808088,0.4262166319899394,16.65394887447539,1.5,43031.0,0.36312782618101336,53.2,9.3,90.6,50.67379255740301,0.9667458432304038,0.23177723177723178
1665,1400000US36081043200,36081043200,1507,77.5,35.6,14.1,37.4,0.06635700066357,75.58062375580624,0.0,5.175846051758461,0.42577989290411605,0.33178500331785005,9.4,88750.0,0.27410407369058787,93.8,31.2,92.1,63.732394366197184,0.9366197183098591,0.8370927318295739
1666,1400000US36081043400,36081043400,1708,83.3,35.1,20.0,37.4,2.1662763466042154,60.7728337236534,4.976580796252927,4.332552693208431,0.6235383564874484,2.576112412177986,11.8,88500.0,0.34227169354193565,87.1,23.0,95.8,60.51136363636363,0.9128787878787878,0.8195020746887967
1667,1400000US36081043701,36081043701,3780,118.2,42.8,36.3,34.6,51.05820105820106,13.201058201058203,3.571428571428571,58.28042328042328,0.35699168556311417,11.11111111111111,1.6,50817.0,0.3731815259040052,71.3,9.2,89.9,52.73796192609183,0.9820828667413214,0.3249714937286203
1668,1400000US36081043702,36081043702,6213,116.4,33.4,14.5,36.1,33.446000321905686,15.40318686624819,19.86158055689683,40.84983099951714,0.6508146382062253,12.37727345887655,3.4,37904.0,0.3594563241227585,78.7,23.5,90.6,52.427358068842196,0.9718372820742065,0.49678012879484823
1669,1400000US36081043900,36081043900,4537,128.9,30.9,10.8,47.6,42.428917787083975,2.711042539122768,5.686577033281905,61.00947762838881,0.40470601746402807,16.24421423848358,7.2,41088.0,0.4307902998640032,56.7,6.2,91.2,51.65234375,0.965625,0.22896440129449838
1670,1400000US36081044000,36081044000,3821,97.7,34.1,16.7,43.5,0.8898194190002617,59.80109918869406,3.0096833289714735,12.32661606909186,0.6174249784641016,10.337607956032452,18.2,52237.0,0.38900076488952817,70.4,17.4,81.8,56.10143830431491,0.79333838001514,0.6020992366412213
