,ALARM_BOX_LOCATION,location,lat,lon
69,AVENUE R & E 22 ST,"E 22nd St & Avenue R, Brooklyn, NY 11229, USA",40.6065591,-73.95076740000002
70,WASHINGTON AVE & EMPIRE BLVD,"Empire Blvd & Washington Ave, Brooklyn, NY 11225, USA",40.6633429,-73.9609619
71,BROADWAY & 135 ST,"Broadway & W 135th St, New York, NY 10031, USA",40.8200672,-73.9549658
72,AVE B & 14 ST,"E 14th St & Avenue B, New York, NY 10009, USA",40.7294348,-73.97802190000002
73,3 AVE & E 118 ST,"3 E 118th St, New York, NY 10035, USA",40.8018952,-73.94497559999998
74,LINDEN BLVD & HEMLOCK ST,"Linden Blvd & Hemlock St, Brooklyn, NY 11208, USA",40.6689649,-73.86744999999998
75,GRAND AVE & W 176 ST,"Grand Ave & W 176th St, The Bronx, NY 10453, USA",40.84861110000001,-73.91396689999998
76,3 AVE & E 180 ST,"3rd Ave & E 180th St, The Bronx, NY 10457, USA",40.8506931,-73.89410450000003
77,IRVING AVE & GREENE AVE,"Irving Ave & Greene Ave, Brooklyn, NY 11237, USA",40.700548,-73.917068
78,E 151 ST & COURTLANDT AVE,"E 151st St & Courtlandt Ave, The Bronx, NY 10451, USA",40.8179747,-73.9189097
79,OFFICE AT TOLL GATE PARKING AREA RIIS PK,"11 Park Place Lobby, New York, NY 10007, United States",40.7130634,-74.0082771
80,25 AVE & COLLEGE PT BLVD,"College Point Blvd & 25th Ave, Queens, NY 11354, USA",40.7766684,-73.84618990000001
81,HUTCHINSON RIV PKWY & WILKINSON AVE,"Wilkinson Ave & Hutchinson River Pkwy E, The Bronx, NY 10461, USA",40.8519588,-73.835559
82,4 AVE & 40 ST,"Park Ave & E 40th St, New York, NY 10016, USA",40.75085720000001,-73.9786464
83,AVE P & EAST 18 ST,"E 18th St & Avenue P, Brooklyn, NY 11229, USA",40.6107152,-73.95573949999998
84,VANDERBILT AVE & DEAN ST,"Dean St & Vanderbilt Ave, Brooklyn, NY 11238, USA",40.68018989999999,-73.96796429999998
85,90 AVE & 221 PL,"90th Ave & 221st Pl, Queens, NY 11428, USA",40.72816029999999,-73.739311
86,MADISON & JEFFERSON STS,"New York, NY, USA",40.7127753,-74.0059728
87,HENRY & RUTGERS STS,"Henry St & Rutgers St, New York, NY 10002, USA",40.7133781,-73.990122
